epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,20353,0.99279,0.97769,1.27912,0.88448,0.70423,0.81648,0.5889,1.10781,0.80315,1.42762,0.005743,0.005743,0.005743
131,20509.1,0.9817,0.95447,1.27704,0.87419,0.713,0.81241,0.59029,1.10982,0.80182,1.42924,0.00571,0.00571,0.00571
132,20664.8,0.98307,0.96467,1.27422,0.89308,0.70692,0.8128,0.58916,1.10576,0.80549,1.42199,0.005677,0.005677,0.005677
133,20820.9,0.97496,0.94951,1.26703,0.89125,0.70641,0.81338,0.58983,1.10401,0.80161,1.42468,0.005644,0.005644,0.005644
134,20976.9,0.97099,0.93356,1.26517,0.86685,0.71529,0.81345,0.59139,1.10315,0.80569,1.4251,0.005611,0.005611,0.005611
135,21132.9,0.98461,0.94929,1.27521,0.88912,0.70895,0.81445,0.59448,1.10272,0.8068,1.42233,0.005578,0.005578,0.005578
136,21290.9,0.96388,0.95133,1.26398,0.87838,0.71828,0.81177,0.59688,1.09536,0.80384,1.41733,0.005545,0.005545,0.005545
137,21447.3,0.97903,0.95183,1.26423,0.84598,0.72334,0.81096,0.5965,1.09027,0.80339,1.4146,0.005512,0.005512,0.005512
138,21606.7,0.97704,0.95125,1.26763,0.82396,0.73772,0.81075,0.59863,1.08583,0.80298,1.41003,0.005479,0.005479,0.005479
139,21765,0.95723,0.93687,1.25465,0.81426,0.75147,0.81135,0.59627,1.08217,0.80054,1.40628,0.005446,0.005446,0.005446
140,21922.7,0.96245,0.93276,1.25914,0.82423,0.74784,0.81436,0.60017,1.07866,0.80115,1.40224,0.005413,0.005413,0.005413
141,22080.2,0.95259,0.91728,1.24874,0.81328,0.76611,0.8165,0.60206,1.07611,0.79972,1.40113,0.00538,0.00538,0.00538
142,22237.9,0.96348,0.92473,1.26147,0.81094,0.76754,0.81717,0.60144,1.0804,0.79593,1.40821,0.005347,0.005347,0.005347
143,22395.6,0.95728,0.93229,1.25581,0.80851,0.75863,0.81775,0.6014,1.08287,0.79451,1.41077,0.005314,0.005314,0.005314
144,22553.4,0.9495,0.91968,1.25423,0.84158,0.73595,0.81636,0.60215,1.08057,0.79387,1.4081,0.005281,0.005281,0.005281
145,22710.8,0.95224,0.9112,1.25202,0.81417,0.76192,0.81787,0.60427,1.0816,0.79118,1.408,0.005248,0.005248,0.005248
